call_id,date,agent_name,call_type,direction,duration_mins,transcript,channel,sla_met
CALL-1011,2026-08-13,Rahul,escalation,inbound,13,"Agent: Good morning, customer support, this is Rahul. How may I assist you today?
Customer: I'd like to speak to a manager. My repair has dragged on for three weeks.
Agent: I'm sorry it's taken this long, and I'll make sure it's handled properly. May I have your repair ticket number and the account name first?
Customer: Ticket RPR-4412, account is Leela Iyer.
Agent: Thank you, Leela, verified. The unit has been at the service centre for 19 business days, past our 7-day standard SLA.
Customer: Exactly, and nobody has called me.
Agent: You're right to be upset. A manager request and an SLA breach are both escalation triggers, so I'm raising a formal escalation now. A senior agent is assigned within 2 hours and will own the case until closure.
Customer: How will I know who it is?
Agent: You'll get an email and an SMS with the escalation reference and their name, and the team works to a 24-hour resolution SLA. Because the repair SLA was breached, you're also entitled to a free temporary unit, which I'm arranging.
Customer: I wasn't told that before. Thank you.
Agent: I apologise it wasn't offered earlier. To summarise: escalation raised on RPR-4412, senior agent within 2 hours, 24-hour resolution target, temporary unit on its way. Thank you for your patience, Leela, have a good day.",phone,Yes
CALL-1012,2026-08-12,Priya,device,outbound,9,"Agent: Good afternoon, this is Priya calling from device support about the setup case you logged. Is now a good time?
Customer: Yes, thanks for calling back.
Agent: Before we continue, could you confirm your account name and the last four digits of your registered mobile number?
Customer: Vikram Desai, and the number ends 7702.
Agent: Thank you, Vikram, verified. I'm following up on your smart lock setup request, and I understand the app still won't pair with the lock.
Customer: That's right, I tried the first two steps of the guide you emailed.
Agent: Good, that's the standard first-contact material, so let's go further. As a premium customer you're eligible for remote support, so I can screen share and do this with you now.
Customer: That would be much easier. Oh, it's paired now.
Agent: Excellent. Had the bluetooth module itself been faulty, that's hardware and I'd have escalated it to the repair team.
Customer: Understood, thanks for following up.
Agent: My pleasure. To summarise: pairing resolved over screen share, guide in your inbox, support available Monday to Saturday 9 am to 6 pm. Have a great day, Vikram.",phone,Yes
CALL-1013,2026-08-11,Amit,repair,inbound,8,"Agent: Good morning, service desk, Amit speaking. How can I help you?
Customer: My laptop screen flickers constantly, I need it repaired.
Agent: I'm sorry to hear that, flickering usually means a display cable or panel issue. Could you confirm your account name and order ID?
Customer: Rohit Sharma, order ORD-5521.
Agent: Thank you, Rohit, verified. I'm booking this as a repair request, acknowledged within 24 hours with a ticket number.
Customer: How long does it usually take?
Agent: A standard repair is 7 business days from when the unit reaches the service centre, with an SMS update at each stage.
Customer: And if the panel has to be ordered?
Agent: Then it's a complex repair, up to 14 business days.
Customer: Alright, please book it. Should I back up my data first?
Agent: Yeah, it's logged.
Customer: Hello? Are you still there? [call ended]",phone,No
CALL-1014,2026-08-10,Sara,replacement,inbound,7,"Agent: Hello, welcome to support chat, my name is Sara. How can I help you today?
Customer: The screen on my e-reader has a dead pixel line right out of the box.
Agent: I'm sorry you received it in that condition. May I have your order ID and the name on the account to verify?
Customer: ORD-8890, name is Tanvi Joshi.
Agent: Thank you, Tanvi, verified. I'm raising this as a replacement request, and the order was placed 12 days ago so it's well within the 90-day window, with your invoice on file as proof of purchase.
Customer: Do I need to send photos?
Agent: A photo of the screen helps the warehouse but isn't a blocker. The replacement dispatches within 3-5 business days.
Customer: And the faulty one?
Agent: Send it back with the prepaid return label we'll email you, in the original packaging if you still have it. Note that one replacement per order is the limit.
Customer: I have the box, thank you.
Agent: Great. Summary: replacement approved on ORD-8890, dispatch in 3-5 business days, prepaid label by email. Thanks for chatting with us, Tanvi, have a lovely day.",chat,Yes
CALL-1015,2026-08-09,James,logistics,inbound,6,"Agent: Good morning, thank you for writing to our returns team. My name is James and I'll be assisting you.
Customer: Hello, my return has shown in transit for 26 days and I'm worried it's lost.
Agent: I understand the concern, 26 days is well beyond normal transit time. Could you confirm your order ID and the name on the account?
Customer: ORD-7003, Ananya Pillai.
Agent: Thank you, Ananya, verified. I'm handling this as a logistics case, and lost-in-transit claims can be raised within 30 days of dispatch, so at day 26 you're still inside the window.
Customer: Good, I was worried I'd left it too late.
Agent: You haven't, I'm raising the claim today and resending your return tracking number for your records.
Customer: Will I still get the refund?
Agent: Yes. Once the claim is settled the refund is processed within 5-7 business days, back to your original payment method.
Customer: Thank you for sorting this out.
Agent: To summarise: claim raised on ORD-7003 inside the 30-day window, tracking resent, refund within 5-7 business days of settlement. Thank you for contacting us, Ananya, have a good day.",email,Yes
CALL-1016,2026-08-08,Rahul,device,inbound,5,"Agent: Hi, support chat, Rahul here. What's the issue?
Customer: My router keeps disconnecting every evening around 8pm.
Agent: Can I get your account name and registered email please?
Customer: Neha Kulkarni, neha.k@example.com.
Agent: Right, found it. Honestly this is almost always the customer's own wiring, not our device.
Customer: I've checked the cables twice, they're fine.
Agent: Everyone says that. Just restart it and stop overthinking it.
Customer: I've restarted it four times already.
Agent: Then it's your internet provider's problem, not ours. I'm logging it as a device support query and sending the troubleshooting guide, read it properly this time.
Customer: That's a bit rude.
Agent: I'm just telling you how it is. Anything else? No? Chat closed.",chat,No
CALL-1017,2026-08-07,Priya,logistics,inbound,8,"Agent: Good morning, logistics support, Priya speaking. How may I help you?
Customer: I need to return a jacket but I threw away the box it came in.
Agent: That's not a problem at all, I can guide you. May I confirm your order ID and account name first?
Customer: ORD-9410, Imran Qureshi.
Agent: Thank you, Imran, verified. I'm logging this as a returns and logistics request. Original packaging is preferred, but where it isn't available please use rigid packaging with adequate padding.
Customer: A sturdy carton would do?
Agent: Perfectly. Please use the prepaid return label I'm emailing you now rather than your own courier, as self-paid charges aren't reimbursed once a prepaid label is issued.
Customer: Understood. When do I get the tracking number?
Agent: As soon as pickup is scheduled, and I'll confirm it in the follow-up email. The refund follows within 5-7 business days of the item being received and inspected.
Customer: That's clear, thank you.
Agent: To summarise: prepaid label emailed, rigid packaging with padding, tracking on pickup, refund within 5-7 business days of receipt. Thank you for calling, Imran, have a great day.",phone,Yes
CALL-1018,2026-08-06,Amit,escalation,outbound,11,"Agent: Good afternoon, this is Amit from the customer support team, calling about the case you raised. Is this a convenient time?
Customer: Yes, go ahead.
Agent: Thank you. For security, could you confirm your account name and your order ID?
Customer: Deepak Rana, ORD-6120.
Agent: Verified, thank you Deepak. I'm calling because your issue is still unresolved after two contacts, which triggers our escalation policy, so I've raised a formal escalation.
Customer: I'd almost given up, honestly. What will be different?
Agent: A senior agent is assigned within 2 hours and owns the case end to end until closure, rather than it moving between agents.
Customer: And if they can't fix it quickly?
Agent: They work to a 24-hour resolution SLA, and if that isn't enough they'll call you with a status update and a committed date. You'll get an email and SMS with the escalation reference and their name.
Customer: Thank you for calling me proactively.
Agent: Of course. To summarise: escalation raised on ORD-6120, senior agent within 2 hours, email and SMS confirmation, 24-hour resolution target. Thank you for your patience, Deepak, have a good day.",phone,Yes
CALL-1019,2026-08-05,Sara,repair,inbound,10,"Agent: Good morning, repair services, this is Sara. How can I help you today?
Customer: My coffee machine has stopped pumping water completely.
Agent: I'm sorry to hear that, that sounds like a pump or blockage issue. Could you confirm the account name and registered mobile number for verification?
Customer: Priyanka Ghosh, number ends 3318.
Agent: Thank you, Priyanka, verified. I'm logging this as a repair request, acknowledged within 24 hours with a repair ticket number.
Customer: How long will it take?
Agent: A standard repair is completed within 7 business days from the date we receive the unit at the service centre.
Customer: What if the pump needs replacing?
Agent: If a part has to be sourced from the manufacturer it becomes a complex repair, up to 14 business days. Either way you'll get an SMS at each stage, and if we exceed the SLA you're entitled to a free temporary replacement.
Customer: That's very clear, thank you.
Agent: To summarise: repair ticket raised, acknowledgement within 24 hours, 7 business day standard SLA, SMS updates throughout. Thank you for calling, Priyanka, have a lovely day.",phone,Yes
CALL-1020,2026-08-04,James,device,inbound,4,"Agent: Yeah, what's the problem with the device?
Customer: Hi, my smart TV won't install the latest firmware update.
Agent: Firmware issue. Have you tried a factory reset?
Customer: Not yet. Don't you need my account details?
Agent: Not really, this is generic stuff.
Customer: Okay. Will a reset erase my apps?
Agent: It will, you'd have to sign in again afterwards. You can also try a wired connection instead of wifi, updates fail less often that way.
Customer: And if none of that works?
Agent: If it's a hardware fault we escalate it to the repair team and it follows the repair SLA. I'm emailing you the troubleshooting guide too.
Customer: Understood.
Agent: Alright. To recap, try the wired update first, guide is in your email, call back if it persists. Thanks and have a good day.",phone,No
CALL-1021,2026-08-03,Rahul,logistics,outbound,7,"Agent: Good afternoon, this is Rahul from the returns team, calling about the pickup scheduled for your order. Is now a good time?
Customer: Yes, that's fine.
Agent: Thank you. Could you confirm your account name and order ID for security?
Customer: Sameer Kapoor, ORD-8477.
Agent: Verified, thank you Sameer. Your pickup is rescheduled for tomorrow between 10 am and 2 pm, and your return tracking number is RTN-33920, which I'm sending by SMS now.
Customer: Should I use my own courier instead? It'd be faster.
Agent: I'd advise against it. Please use the prepaid label we emailed, since self-paid courier charges aren't reimbursed when a prepaid label has been issued.
Customer: Fair enough. What about packing?
Agent: Original packaging where possible, including accessories. The refund follows within 5-7 business days of the item being received and inspected at the warehouse.
Customer: Perfect, thank you.
Agent: To summarise: pickup tomorrow 10 am to 2 pm, tracking RTN-33920 by SMS, prepaid label, refund within 5-7 business days of receipt. Thank you for your time, Sameer, have a great day.",phone,Yes
CALL-1022,2026-08-02,Priya,escalation,inbound,6,"Agent: Good morning, support desk, Priya speaking. How can I help?
Customer: This is my third call about the same faulty oven. I want a manager.
Agent: Can I have your account name and ticket number?
Customer: Suresh Nair, ticket ESC-2201.
Agent: Okay, I see it. Look, calling repeatedly doesn't make it move any faster.
Customer: I'm calling because nobody has fixed it.
Agent: That's just how the process works, you'll have to be patient like everyone else.
Customer: You're supposed to escalate this. I asked for a manager.
Agent: Fine, I'll put it through as an escalation. A senior agent picks it up within 2 hours.
Customer: And then what? Can you confirm the resolution time?
Agent: I've done my part, it's out of my hands now.
Customer: Hello?",phone,No
CALL-1023,2026-08-01,Amit,replacement,inbound,8,"Agent: Good morning, thank you for calling support, my name is Amit. How may I help you?
Customer: The vacuum cleaner I ordered has a motor that won't start at all.
Agent: I'm sorry to hear that, a dead motor out of the box isn't acceptable. May I have your order ID and the name on the account?
Customer: ORD-9088, Kavita Menon.
Agent: Thank you, Kavita, verified. I'm classifying this as a replacement request. The purchase was 34 days ago, inside our 90-day window, and your invoice is on file as proof of purchase.
Customer: Is there any catch?
Agent: Two things to note: misuse or liquid damage wouldn't be covered, which doesn't apply here, and only one replacement is allowed per order.
Customer: That's reasonable. What's the timeline?
Agent: The replacement is dispatched within 3-5 business days and you'll receive a dispatch confirmation with a tracking number.
Customer: Thank you, that was straightforward.
Agent: Glad to help. To summarise: replacement approved on ORD-9088, dispatch in 3-5 business days, tracking to follow. Thank you for calling, Kavita, have a wonderful day.",phone,Yes
CALL-1024,2026-07-31,Sara,device,inbound,12,"Agent: Good afternoon, thank you for contacting device support. My name is Sara and I'll be handling your request.
Customer: Hi, I can't get my new security camera to record to the cloud.
Agent: Thank you for explaining, cloud recording failures are usually an account-linking step rather than a fault. Could you confirm your account name and registered email?
Customer: Manish Trivedi, manish.t@example.com.
Agent: Verified, thank you Manish. I'm logging this as a device setup request and I've attached our basic troubleshooting guide, which we send on first contact. Section 4 covers linking the camera to your cloud account.
Customer: I'll go through it, but I'm not very technical.
Agent: That's completely fine. As a premium customer you can have a remote screen share, and our support hours are Monday to Saturday, 9 am to 6 pm.
Customer: Let's say Thursday at 11 am.
Agent: Booked for Thursday at 11 am. If the camera's storage module itself is faulty, that's hardware and I'll escalate it to the repair team, which then follows the repair SLA.
Customer: Understood, thank you.
Agent: To summarise: guide attached, section 4 first, screen share Thursday 11 am, repair escalation if it proves to be hardware. Thank you for contacting us, Manish, have a good day.",email,Yes
CALL-1025,2026-07-30,James,repair,inbound,9,"Agent: Hello, welcome to service chat, this is James. How can I help you today?
Customer: My headphones have a crackling right driver, they're 5 months old.
Agent: Thanks for the detail, I'm sorry they're not working properly. May I have your order ID and the account name for verification?
Customer: ORD-7256, Aditi Rao.
Agent: Thank you, Aditi, verified. As the purchase is past 90 days this goes through as a repair rather than a replacement, acknowledged within 24 hours with a ticket number.
Customer: I was hoping for a new pair, but I understand. How long is the repair?
Agent: Standard repairs are done within 7 business days of the unit reaching the service centre. If a driver has to come from the manufacturer it's complex, up to 14 business days.
Customer: Will I be left guessing?
Agent: Not at all, you'll get an SMS at every stage, and if we exceed the SLA you're entitled to a free temporary replacement.
Customer: That's fair, please book it.
Agent: Booked. To summarise: repair ticket raised on ORD-7256, 7 business day standard SLA, SMS updates throughout. Thanks for chatting with us, Aditi, have a great day.",chat,Yes
CALL-1026,2026-07-29,Rahul,replacement,inbound,6,"Agent: Good afternoon, customer support, Rahul speaking. How can I help you?
Customer: My blender broke after I dropped it. Can I get a replacement?
Agent: Sure, no problem at all, I'll arrange a replacement for you.
Customer: Don't you need my order details?
Agent: Nah, we can sort it without that.
Customer: It was my fault though, I dropped it off the counter.
Agent: Doesn't matter, I'll put it through as defective.
Customer: And how long does it take?
Agent: I'll get it out to you by tomorrow, I'll push it through as urgent.
Customer: That's faster than I expected.
Agent: We look after our customers. It's all arranged, thanks for calling and have a good day.",phone,No
CALL-1027,2026-07-28,Priya,repair,inbound,11,"Agent: Good morning, repair services, this is Priya. How may I assist you?
Customer: My air purifier shuts down randomly after ten minutes of running.
Agent: I'm sorry about that, random shutdowns usually point to a sensor or power board issue. Could you confirm your account name and order ID?
Customer: Gaurav Sethi, ORD-6842.
Agent: Thank you, Gaurav, verified. I'm registering this as a repair request, which is acknowledged within 24 hours with a ticket number.
Customer: Should I try anything myself first?
Agent: You could clear the filter sensor, but from your description I'd rather a technician looked at it. A standard repair is 7 business days from receipt at the service centre.
Customer: And a complex one?
Agent: Up to 14 business days if a board has to come from the manufacturer, and I'll tell you the moment it's reclassified. You'll get an SMS at each stage, and an SLA overrun entitles you to a free temporary unit.
Customer: That's good to know.
Agent: To summarise: repair ticket raised on ORD-6842, 7 business day standard SLA, up to 14 if complex, SMS updates at every stage. Thank you for calling, Gaurav, have a great day.",phone,Yes
CALL-1028,2026-07-27,Amit,logistics,inbound,5,"Agent: What's your order number?
Customer: Hi... it's ORD-7788, name Shalini Dubey.
Agent: Right. So what do you want?
Customer: I want to return a lamp, it's the wrong colour.
Agent: You should have checked the listing photos before ordering.
Customer: The photo looked beige, not grey.
Agent: That's on you, honestly. Anyway, you get a prepaid label by email, use that, and put it in the original box.
Customer: And the refund?
Agent: 5-7 business days after the warehouse gets it. It's all standard, it's on the website.
Customer: Okay, thank you for the information.
Agent: Right, so that's your return logged. Anything else, or are we done here? Bye then.",chat,No
CALL-1029,2026-07-26,Sara,escalation,outbound,7,"Agent: Good afternoon, this is Sara from customer support, calling about your open case. Is now a good time?
Customer: Yes, thank you for calling.
Agent: Could you confirm your account name and ticket number for security, please?
Customer: Harish Bhatia, ticket ESC-2318.
Agent: Thank you, Harish, verified. I'm calling because your issue is unresolved after two contacts, which triggers an escalation, and I've raised it now.
Customer: I'm glad someone noticed. Will I be told who handles it?
Agent: Yes, a senior agent is assigned within 2 hours and you'll get an email and SMS with the reference and their name.
Customer: And when should I expect a resolution?
Agent: The escalation team works to a 24-hour resolution SLA from assignment.
Customer: Okay. Is there anything I need to do in the meantime?
Agent: No, nothing from your side. Right, I have another call waiting.
Customer: Oh, alright then, bye?",phone,No
CALL-1030,2026-07-25,James,replacement,inbound,5,"Agent: Hi, support chat, James here. What do you need?
Customer: My toaster arrived with a broken lever, I want a replacement.
Agent: Are you sure you didn't force it? People break those all the time.
Customer: It was like that in the box.
Agent: If you say so. I'll note it as damaged on arrival.
Customer: Do you want my order ID?
Agent: Not bothered, I'll just log it as a general damage report.
Customer: Won't that cause problems later?
Agent: It's fine, stop worrying about it.
Customer: When will the replacement be dispatched, and is there anything else I need to do?
Agent: [agent left the chat]",chat,No
CALL-1031,2026-08-23,Priya,replacement,inbound,8,"Agent: Good morning, thank you for calling customer support, this is Priya. How may I help you?
Customer: The air fryer I ordered has a handle that snapped the first time I opened it.
Agent: I'm sorry to hear that, a handle shouldn't fail on first use. May I have your order ID and the name on the account?
Customer: ORD-9521, Rekha Menon.
Agent: Thank you, Rekha, verified. I'm logging this as a replacement request, and at 16 days since purchase you're comfortably inside the 90-day window.
Customer: Do I need to send you the receipt?
Agent: No, your invoice is on file so proof of purchase is covered. The replacement dispatches within 3-5 business days with a tracking number.
Customer: Is there a limit on this?
Agent: One replacement per order is the limit, and misuse damage isn't covered, though a first-use failure clearly isn't misuse.
Customer: That's fair, thank you.
Agent: To summarise: replacement approved on ORD-9521, dispatch in 3-5 business days. Thank you for calling, Rekha, have a great day.",phone,Yes
CALL-1032,2026-08-22,Sara,repair,inbound,6,"Agent: Right, what's wrong with the unit?
Customer: Hello? My dishwasher isn't draining at the end of the cycle.
Agent: Can you confirm your account name and order ID?
Customer: Yes, Bhavna Sinha, ORD-6931.
Agent: Verified. That's a pump or drain hose issue, so I'm logging it as a repair request.
Customer: How quickly does that move?
Agent: You'll get an acknowledgement with a ticket number within 24 hours, and a standard repair is 7 business days from receipt at the service centre.
Customer: And if it's more involved than that?
Agent: Complex repairs needing manufacturer parts run up to 14 business days, with an SMS update at each stage.
Customer: What if you overrun?
Agent: Then you're entitled to a free temporary replacement. To summarise, repair booked on ORD-6931, 7 business day SLA, SMS updates throughout. Thank you for calling, Bhavna, have a good day.",phone,No
CALL-1033,2026-08-21,James,logistics,inbound,7,"Agent: Hello and welcome to support chat, my name is James. How can I help you today?
Customer: I got the wrong size shoes and need to send them back.
Agent: I'm sorry about the mix-up, let's get it returned. May I have your order ID and the email on the account?
Customer: ORD-8214, ravi.p@example.com.
Agent: Thank you, Ravi, that matches. I'm logging this as a returns and logistics request, and I'm emailing your prepaid return label now.
Customer: So I don't pay for shipping?
Agent: Correct, the prepaid label covers it. Please don't book your own courier, as self-paid charges aren't reimbursed once a label has been issued.
Customer: Understood. Do I need the original box?
Agent: Original packaging where possible, with everything that came with it. I'll share the return tracking number as soon as pickup is scheduled.
Customer: And when do I see the refund?
Agent: Within 5-7 business days of the item being received and inspected, back to your original payment method. To summarise: prepaid label emailed, original box preferred, refund within 5-7 business days. Thanks for chatting, Ravi, have a great day.",chat,Yes
CALL-1034,2026-08-20,Rahul,device,inbound,10,"Agent: Good afternoon, device support, Rahul speaking. How may I help you?
Customer: My robot vacuum won't hold its wifi connection to the app.
Agent: I'm sorry it's dropping out, that's usually a network handover issue rather than a fault. Could you confirm your account name and registered email?
Customer: Sunita Rao, sunita.rao@example.com.
Agent: Thank you, Sunita, verified. I'm logging this as a device support request and emailing you our basic troubleshooting guide, which is our standard first contact material.
Customer: What should I check while I wait for it?
Agent: Whether your router is pushing the vacuum between two bands. Section 2 of the guide walks through pinning it to 2.4 gigahertz.
Customer: That sounds like something I can do.
Agent: If not, you're on our premium plan so I can book a remote screen share, and our hours are Monday to Saturday, 9 am to 6 pm.
Customer: I'll try it myself first. What if the wifi chip is faulty?
Agent: Then it's hardware beyond software support and I'd escalate it to the repair team, which follows the repair SLA. To summarise: guide emailed, try section 2, call back and I'll book a screen share. Thank you, Sunita, have a good day.",phone,Yes
